aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,현대,11110-90,0082,0000,2000, , , ,"38,000",23,5,2006, , ,84.92,4,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"13,600",26,5,2006, , ,54.7,3,703,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"42,000",20,5,2006, , ,84.9,3,4,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"14,000",3,5,2006, , ,54.7,7,703,1,N, 
 ,롯데미도파광화문빌딩,11110-12,0145,0000,1981, , , ,"35,000",26,5,2006, , ,93.36,8,145,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"23,000",17,5,2006, , ,59.95,19,232,1,N, 
 ,흥인,11110-40,0627,0021,1997, , , ,"14,000",13,5,2006, , ,56.88,5,627-21,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"22,700",27,5,2006, , ,79.87,5,702,1,N, 
 ,옥인시민,11110-10,0179,0003,1971, , , ,"22,000",12,5,2006, , ,59.5,3,179-3,1,N, 
 ,형우럭스빌(33-1),11110-2073,0033,0001,2005, , , ,"35,000",23,5,2006, , ,103.07,3,33-1,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"97,000",10,5,2006, , ,146.33,13,95,1,N, 
 ,옥인시민,11110-10,0179,0003,1971, , , ,"22,000",30,5,2006, , ,59.5,2,179-3,1,N, 
 ,동문상가,11110-33,0436,0041,1970, , , ,"10,300",15,5,2006, , ,37.35,6,436-41,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"32,000",12,5,2006, , ,115.53,11,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"20,700",27,5,2006, , ,79.87,1,702,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"57,000",7,5,2006, , ,114.9,13,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"21,200",24,5,2006, , ,79.87,13,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"32,300",25,5,2006, , ,106.62,9,702,1,N, 
