동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,현대,11110-90,82,0,2000, , ,"45,800", , ,84.92,17,82,1,N, ,2006-05-16
 ,현대,11110-90,82,0,2000, , ,"59,500", , ,114.9,15,82,1,N, ,2006-05-09
 ,현대,11110-90,82,0,2000, , ,"44,300", , ,84.92,13,82,1,N, ,2006-05-26
 ,현대,11110-90,82,0,2000, , ,"39,400", , ,84.92,12,82,1,N, ,2006-05-27
 ,창신쌍용2,11110-91,703,0,1993, , ,"21,500", , ,79.87,3,703,1,N, ,2006-05-30
 ,창신쌍용2,11110-91,703,0,1993, , ,"15,400", , ,64.66,8,703,1,N, ,2006-05-25
 ,동대문상가,11110-32,436,64,1968, , ,"19,500", , ,40.87,4,436-64,1,N, ,2006-05-17
 ,건양하늘터,11110-2128,23,0,2006, , ,"32,788", , ,84.89,1,23,1,N, ,2006-05-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"20,000", , ,79.87,12,703,1,N, ,2006-05-25
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"14,800", , ,46.64,3,55,1,N, ,2006-05-25
 ,현대,11110-90,82,0,2000, , ,"42,500", , ,84.92,7,82,1,N, ,2006-05-24
 ,현대,11110-90,82,0,2000, , ,"38,000", , ,84.92,4,82,1,N, ,2006-05-23
 ,창신쌍용2,11110-91,703,0,1993, , ,"13,600", , ,54.7,3,703,1,N, ,2006-05-26
 ,아남1,11110-25,4,0,1995, , ,"42,000", , ,84.9,3,4,1,N, ,2006-05-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"14,000", , ,54.7,7,703,1,N, ,2006-05-03
 ,롯데미도파광화문빌딩,11110-12,145,0,1981, , ,"35,000", , ,93.36,8,145,1,N, ,2006-05-26
 ,두산,11110-34,232,0,1999, , ,"23,000", , ,59.95,19,232,1,N, ,2006-05-17
 ,흥인,11110-40,627,21,1997, , ,"14,000", , ,56.88,5,627-21,1,N, ,2006-05-13
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,700", , ,79.87,5,702,1,N, ,2006-05-27
 ,옥인시민,11110-10,179,3,1971, , ,"22,000", , ,59.5,3,179-3,1,N, ,2006-05-12
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"35,000", , ,103.07,3,33-1,1,N, ,2006-05-23
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"97,000", , ,146.33,13,95,1,N, ,2006-05-10
 ,옥인시민,11110-10,179,3,1971, , ,"22,000", , ,59.5,2,179-3,1,N, ,2006-05-30
 ,동문상가,11110-33,436,41,1970, , ,"10,300", , ,37.35,6,436-41,1,N, ,2006-05-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,000", , ,115.53,11,703,1,N, ,2006-05-12
 ,창신쌍용1,11110-37,702,0,1992, , ,"20,700", , ,79.87,1,702,1,N, ,2006-05-27
 ,현대,11110-90,82,0,2000, , ,"57,000", , ,114.9,13,82,1,N, ,2006-05-07
 ,창신쌍용2,11110-91,703,0,1993, , ,"21,200", , ,79.87,13,703,1,N, ,2006-05-24
 ,창신쌍용1,11110-37,702,0,1992, , ,"32,300", , ,106.62,9,702,1,N, ,2006-05-25
 ,창신쌍용1,11110-37,702,0,1992, , ,"21,700", , ,79.87,2,702,1,N, ,2006-05-12
 ,두산,11110-34,232,0,1999, , ,"35,000", , ,84.9,21,232,1,N, ,2006-05-09
 ,옥인시민,11110-10,179,3,1971, , ,"16,500", , ,49.59,4,179-3,1,N, ,2006-05-15
